RANK,NAME,TEAM,CL,POSITION,G,RUSH,RUSH YDS,RUSH TD
159,B.J. Daniels,UTSA,So.,RB,6,69,269,3
160,Jordan Scarlett,Florida,Jr.,RB,6,54,268,2
161,Ben Glines,Boston College,Jr.,WR,6,49,265,2
162,Sewo Olonilua,TCU,Jr.,RB,5,58,262,1
163,Kaleb Barker,Troy,Jr.,QB,6,57,261,3
164,James Williams,Washington St.,Jr.,RB,6,64,260,5
165,Tavion Thomas,Cincinnati,Fr.,RB,4,37,259,4
166,Salvon Ahmed,Washington,So.,RB,6,40,258,2
-,AJ Bush,Illinois,Sr.,QB,3,44,258,2
-,Mohamed Ibrahim,Minnesota,Fr.,RB,3,48,258,0
-,Tim Jordan,Tennessee,So.,RB,5,63,258,2
170,Derrick Gore,La.-Monroe,Sr.,RB,6,57,257,3
-,Deon Jackson,Duke,So.,RB,5,59,257,4
-,Napoleon Maxwell,FIU,Sr.,RB,5,50,257,3
173,Lamical Perine,Florida,Jr.,RB,6,46,255,2
-,Dameon Pierce,Florida,Fr.,RB,6,25,255,2
175,Travis Dye,Oregon,Fr.,RB,5,46,253,2
-,Monteo Garrett,Ga. Southern,Sr.,RB,5,44,253,3
-,Mitchell Guadagni,Toledo,Jr.,QB,4,42,253,2
-,Adrian Martinez,Nebraska,Fr.,QB,4,53,253,3
179,Cole Fagan,Air Force,Jr.,RB,5,68,252,2
180,Ta'Zhawn Henry,Texas Tech,Fr.,RB,5,54,251,7
-,Kam Martin,Auburn,Jr.,RB,6,67,251,1
182,Marcus Jones,Northern Ill.,Sr.,RB,6,45,249,1
183,Ty Chandler,Tennessee,So.,RB,4,40,247,1
-,Deshawn McClease,Virginia Tech,Jr.,RB,5,51,247,1
185,Jafar Armstrong,Notre Dame,So.,WR,4,47,245,5
186,Jaqwis Dancy,Louisiana Tech,Jr.,RB,3,27,242,4
-,Darrynton Evans,Appalachian St.,So.,RB,5,35,242,2
188,Taiwan Deal,Wisconsin,Sr.,RB,5,39,241,3
189,Markell Jones,Purdue,Sr.,RB,5,43,240,1
190,Khari Blasingame,Vanderbilt,Sr.,DB,6,47,238,1
191,Asim Rose,Kentucky,Jr.,RB,6,36,237,4
192,Mike Glass III,Eastern Mich.,Sr.,QB,5,48,236,4
-,Bryant Koback,Toledo,Fr.,RB,5,46,236,5
194,Tyler Badie,Missouri,Fr.,RB,5,50,234,1
-,AJ Erdely,UAB,Sr.,QB,5,49,234,4
196,Tommy Lazzaro,Central Mich.,Jr.,QB,4,55,233,2
-,John Lovett,Baylor,So.,RB,5,44,233,3
-,Zac Thomas,Appalachian St.,So.,QB,5,39,233,6
199,Jordan Mims,Fresno St.,So.,RB,5,63,232,4
200,Devwah Whaley,Arkansas,Jr.,RB,4,53,231,2
